Diagnose;Schlüssel;Anzahl von Diagnose
Gesunde Begleitperson einer kranken Person;Z76.3;Hauptdiagnose
Sonstige näher bezeichnete prophylaktische Maßnahmen;Z29.8;Hauptdiagnose
Sonstige Symptome, die die Nahrungs- und Flüssigkeitsaufnahme betreffen;R63.8;Hauptdiagnose
Akute Rhinopharyngitis [Erkältungsschnupfen];J00;Hauptdiagnose
Beobachtung bei Verdacht auf neurologische Krankheit;Z03.3;Hauptdiagnose
Volumenmangel;E86;Hauptdiagnose
Kandidose der Haut und der Nägel;B37.2;Hauptdiagnose
Akute respiratorische Insuffizienz, anderenorts nicht klassifiziert: Typ I [hypoxisch];J96.00;Hauptdiagnose
Übelkeit und Erbrechen;R11;Normal
Trinkunlust beim Neugeborenen;P92.2;Normal
Obstipation;K59.0;Normal
Ernährungsprobleme und unsachgemäße Ernährung;R63.3;Normal
Flatulenz und verwandte Zustände;R14;Normal
Hypokaliämie;E87.6;Normal
Hypothermie beim Neugeborenen, nicht näher bezeichnet;P80.9;Normal
Akute Infektion der oberen Atemwege, nicht näher bezeichnet;J06.9;Normal
Windeldermatitis;L22;Normal
Schwierigkeit beim Neugeborenen bei Brusternährung;P92.5;Normal
Fieber, nicht näher bezeichnet;R50.9;Normal
Respiratorisches Versagen beim Neugeborenen;P28.5;Normal
Nicht näher bezeichnete Harninkontinenz;R32;Gefährlich
Stuhlinkontinenz;R15;Gefährlich
Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs;A09.0;Gefährlich
Sonstiges näher bezeichnetes Fieber;R50.88;Gefährlich
Verzögertes Erreichen von Entwicklungsstufen;R62.0;Gefährlich
Dysphasie und Aphasie;R47.0;Gefährlich
Sonstige Apnoe beim Neugeborenen;P28.4;Gefährlich
Sonstige näher bezeichnete abnorme Befunde der Blutchemie;R79.8;Gefährlich
Atemnotsyndrom [Respiratory distress syndrome] des Neugeborenen;P22.0;Gefährlich
Sonstige und nicht näher bezeichnete Bauchschmerzen;R10.4;Gefährlich
Fieberkrämpfe;R56.0;Gefährlich
Sonstige Hypoglykämie beim Neugeborenen;P70.4;Gefährlich
Langzeitige Abhängigkeit vom Rollstuhl;Z99.3;Gefährlich
Versorgung eines Gastrostomas;Z43.1;Gefährlich
Neugeborenenikterus in Verbindung mit vorzeitiger Geburt;P59.0;Gefährlich
Sonstige akute Infektionen an mehreren Lokalisationen der oberen Atemwege;J06.8;Gefährlich
Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit komplexen fokalen Anfällen;G40.2;Gefährlich
Kopfschmerz;R51;Gefährlich
Spastische tetraplegische Zerebralparese;G80.0;Gefährlich
Akute Bronchitis, nicht näher bezeichnet;J20.9;Gefährlich
Xerosis cutis;L85.3;Gefährlich
Ruhelosigkeit und Erregung;R45.1;Gefährlich
Abnorme Ergebnisse von Funktionsprüfungen des Zentralnervensystems;R94.0;Gefährlich
Gefäßkomplikationen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken;T80.1;Gefährlich
Sonstige transitorische Störungen des Kalzium- und Magnesiumstoffwechsels beim Neugeborenen;P71.8;Gefährlich
Akute seröse Otitis media;H65.0;Gefährlich
Andere Kontaktanlässe mit Bezug auf den engeren Familienkreis;Z63;Gefährlich
Bestimmte in der Perinatalperiode entstandene Zustände in der Eigenanamnese;Z87.6;Gefährlich
Candida-Stomatitis;B37.0;Gefährlich
Oberflächliche Verletzung sonstiger Teile des Kopfes: Prellung;S00.85;Gefährlich
Sonstiges Ausbleiben der erwarteten physiologischen Entwicklung;R62.8;Gefährlich
Größerer operativer Eingriff in der Eigenanamnese, anderenorts nicht klassifiziert;Z92.4;Gefährlich
Notwendigkeit der Impfung gegen sonstige Kombinationen von Infektionskrankheiten;Z27.8;Gefährlich
Angeborene Fehlbildungen, Deformitäten oder Chromosomenanomalien in der Eigenanamnese;Z87.7;Gefährlich
Systemische prophylaktische Chemotherapie;Z29.21;Gefährlich
Mukopurulente Konjunktivitis;H10.0;Gefährlich
Hypothyreose, nicht näher bezeichnet;E03.9;Gefährlich
Unwohlsein und Ermüdung;R53;Gefährlich
Hypoosmolalität und Hyponatriämie;E87.1;Gefährlich
Vorhandensein sonstiger und nicht näher bezeichneter medizinischer Geräte oder Hilfsmittel;Z97.8;Gefährlich
Schwindel und Taumel;R42;Gefährlich
Sonstige akute Gastritis;K29.1;Gefährlich
